"","x"
"SocialBenefit_other","Currently receiving subsidy from other Org?/Other"
"SocialBenefit_religious","Currently receiving subsidy from other Org?/Yes, from a religious organisation"
"SocialBenefitType_cash","What type of assistance do you receive?/Cash subsidy (or prepaid card)"
"SocialBenefitType_foodbag","What type of assistance do you receive?/Delivery of foods"
"SocialBenefitType_foodcard","What type of assistance do you receive?/Food card"
"SocialBenefitType_foodkit","What type of assistance do you receive?/Foodkit"
"SocialBenefitType_foodration","What type of assistance do you receive?/Food ration"
"SocialBenefitType_housing","What type of assistance do you receive?/Housing or housing payment"
"SocialBenefitType_hygiene","What type of assistance do you receive?/Hygiene kit"
"SocialBenefitType_livelihood","What type of assistance do you receive?/Livelihoods"
"SocialBenefitType_med","What type of assistance do you receive?/Medical Assistance"
"SocialBenefitType_medical","What type of assistance do you receive?/Medical"
"SocialBenefitType_other","What type of assistance do you receive?/Other"
"SocialBenefitType_pss","What type of assistance do you receive?/PSS"
"SocialBenefitType_psych","What type of assistance do you receive?/Psychological assistance"
"SocialBenefitType_relocate","What type of assistance do you receive?/Yes"
"CopingMechanism1_aidAgency","Coping mechanism/Sought or relied on aid from humanitarian agencies or NGO"
"CopingMechanism1_aidHost","Coping mechanism/Receive donations from others"
"CopingMechanism1_borrowMoney","Coping mechanism/Borrow money to purchase food or basic goods"
"CopingMechanism1_changedShelter","Coping mechanism/Moved to a less adequate shelter situation"
"CopingMechanism1_familySupport","Coping mechanism/Family support"
"CopingMechanism1_limitAdultFood","Coping mechanism/Restrict food of adults in order for small children to eat"
"CopingMechanism1_none","Coping mechanism/None of the above happened"
"CopingMechanism1_notell","Coping mechanism/Prefer not to tell"
"CopingMechanism1_other","Coping mechanism/Other"
"CopingMechanism1_reducedFood","Coping mechanism/Reduction in the quantity or quality of food eaten"
"CopingMechanism1_reduceExp","Coping mechanism/Reduce non-essential expenditures"
"CopingMechanism1_sellAssets","Coping mechanism/Sell household items or assets"
"CopingMechanism1_skippedRent","Coping mechanism/Skipped paying rent to meet other needs"
"CopingMechanism1_useSavings","Coping mechanism/Using up savings"
"CopingMechanism1_workFood","Coping mechanism/Working for food, accommodation and other things (not for cash)"
"CopingMechanism2_beg","Extreme negative coping mechanism/Begging"
"CopingMechanism2_childmarriage","Extreme negative coping mechanism/Child marriage"
"CopingMechanism2_foodscrap","Extreme negative coping mechanism/Collect food scraps"
"CopingMechanism2_none","Extreme negative coping mechanism/None of the above happened"
"CopingMechanism2_notell","Extreme negative coping mechanism/Prefer not to tell"
"CopingMechanism2_other","Extreme negative coping mechanism/Other"
"CopingMechanism2_sendchild","Extreme negative coping mechanism/Children sent to the care of other families."
"CopingMechanism2_survivalsex","Extreme negative coping mechanism/Sex for survival or prostitution"
"CopingMechanism2_workchild","Extreme negative coping mechanism/Children (under 15 years old) sent to work"
"FeelSafe","Feel safe in the area or community"
"Isolation","Feel lonely or isolated in Asylum"
"IsoltaionPTA","Modified  daily routine to remain safe since persecution starte"
"Discriminated","Feel discriminated in asylum"
"DiscriminatedPTA","Felt discriminated since persecution started"
"DiscriminatedReasons_age","Reasons for feeling discriminated/By age"
"DiscriminatedReasons_ethnictiy","Reasons for feeling discriminated/By ethnicity or skin color"
"DiscriminatedReasons_female","Reasons for feeling discriminated/Female"
"DiscriminatedReasons_gender","Reasons for feeling discriminated/Sexual orientation or gender identity"
"DiscriminatedReasons_male","Reasons for feeling discriminated/Male"
"DiscriminatedReasons_nationality","Reasons for feeling discriminated/By nationality"
"DiscriminatedReasons_other","Reasons for feeling discriminated/Other"
"DiscriminatedReasons_religion","Reasons for feeling discriminated/Their religion"
"Interaction","Appreciation of interaction with the local population"
"InteractionPTA","Appreciation of gvt protection measures since persecution started"
"communication","Feel like easily accessing internet when need comes"
"Weight","Weight"
"ID","ID"
