Year,Quarter,CountryOfAsylum,nationality,intentionmove,TotalAdult,TotalMinor,AppliedRefugee,Childinschool,Childvirtualed,medicalReceived,RiskYes,RiskReturn_medical
2021,Q3,CostaRica,nicaragua,Unknown,1.0,0.0,Unknown,Not Applicable,Not Applicable,Undecided,Undecided,0.0
2021,Q3,CostaRica,nicaragua,Unknown,3.0,0.0,Unknown,Not Applicable,Not Applicable,Undecided,Undecided,0.0
2021,Q3,CostaRica,nicaragua,Unknown,3.0,1.0,Unknown,yes,no,Undecided,Undecided,0.0
2021,Q3,CostaRica,nicaragua,Unknown,1.0,0.0,Unknown,Not Applicable,Not Applicable,Undecided,Undecided,0.0
2021,Q3,Argentina,venezuela,stay,0.0,3.0,yes,yes,no,Undecided,StronglyAgree,0.0
2021,Q3,Argentina,venezuela,Unknown,2.0,1.0,Unknown,yes,no,Undecided,Undecided,0.0
2021,Q3,Argentina,venezuela,Unknown,3.0,0.0,Unknown,Not Applicable,Not Applicable,Undecided,Undecided,0.0
2021,Q3,CostaRica,nicaragua,Unknown,1.0,0.0,Unknown,Not Applicable,Not Applicable,Undecided,Undecided,0.0
2021,Q3,CostaRica,nicaragua,Unknown,3.0,0.0,Unknown,Not Applicable,Not Applicable,Undecided,Undecided,0.0
2021,Q3,CostaRica,nicaragua,Unknown,1.0,0.0,Unknown,Not Applicable,Not Applicable,Undecided,Undecided,0.0
2021,Q3,CostaRica,nicaragua,stay,2.0,1.0,yes,yes,no,StronglyAgree,StronglyDisagree,0.0
2021,Q3,CostaRica,nicaragua,Unknown,2.0,0.0,Unknown,Not Applicable,Not Applicable,Undecided,Undecided,0.0
2021,Q3,CostaRica,nicaragua,Unknown,1.0,0.0,Unknown,Not Applicable,Not Applicable,Undecided,Undecided,0.0
2021,Q3,CostaRica,nicaragua,Unknown,1.0,0.0,Unknown,Not Applicable,Not Applicable,Undecided,Undecided,0.0
2021,Q3,CostaRica,nicaragua,Unknown,2.0,1.0,Unknown,yes,no,Undecided,Undecided,0.0
2021,Q3,CostaRica,other,stay,2.0,1.0,yes,yes,Nainpersonclasses,Undecided,StronglyAgree,0.0
2021,Q3,CostaRica,nicaragua,Unknown,2.0,2.0,Unknown,yes,no,Undecided,Undecided,0.0
2021,Q3,Argentina,venezuela,Unknown,5.0,3.0,Unknown,yes,no,Undecided,Undecided,0.0
2021,Q3,CostaRica,nicaragua,Unknown,1.0,0.0,Unknown,Not Applicable,Not Applicable,Undecided,Undecided,0.0
2021,Q3,CostaRica,other,Unknown,5.0,0.0,Unknown,Not Applicable,Not Applicable,Undecided,Undecided,0.0
2021,Q3,CostaRica,nicaragua,Unknown,4.0,0.0,Unknown,Not Applicable,Not Applicable,Undecided,Undecided,0.0
2021,Q3,CostaRica,other,Unknown,1.0,0.0,Unknown,Not Applicable,Not Applicable,Undecided,Undecided,0.0
2021,Q3,CostaRica,nicaragua,Unknown,1.0,5.0,Unknown,yes,no,Undecided,Undecided,0.0
2021,Q3,Argentina,venezuela,Unknown,2.0,1.0,Unknown,yes,no,Undecided,Undecided,0.0
